"Date","TotalActivatedAccounts","TotalRegisteredUsers","DailyAnswers","DailyArticles","DailyCollections","DailyComments","DailyCustomAwardsCreated","DailyEdits","DailyFlags","DailyNewSubjectMatterExperts","DailyNewTags","DailyNewUsers","DailyPostMentions","DailyQuestions","DailyReputation","DailySearches","DailyUserGroups","DailyVotes","HasGitHubEnterpriseIntegration","HasJiraIntegration","HasMicrosoftTeamsIntegration","HasSlackIntegration","TotalAcceptedAnswers","TotalAnswers","TotalArticleViews","TotalComments","TotalEdits","TotalFlags","TotalQuestions","TotalQuestionsWithAnswers","TotalReputation","TotalSearches","TotalVotes","WeeklyTimeToAnswerSeconds","MonthlyTimeToAnswerSeconds","DailyUniqueVisitors","DailyActiveUsers","WeeklyUniqueVisitors","WeeklyActiveUsers","MonthlyUniqueVisitors","MonthlyActiveUsers","QuarterlyUniqueVisitors","QuarterlyActiveUsers"
"2020-09-03","228","410","6","4","1","1","0","30","0","0","0","0","8","8","50","74","0","15","False","False","False","False","1988","3488","1997","5116","10608","70","3053","2755","154398","32252","20596","5011","9256","104","17","172","62","202","112","",""
"2020-09-04","229","412","3","0","0","1","0","5","0","0","0","2","5","2","77","41","0","8","False","False","False","False","1989","3491","2012","5117","10613","70","3055","2757","154475","32293","20604","4212","9553","76","9","167","58","201","113","",""
"2020-09-05","229","412","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","False","False","False","False","1989","3491","2012","5117","10613","70","3055","2757","154475","32294","20604","5011","7716","11","0","160","54","200","111","",""
"2020-09-06","229","412","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","False","False","False","False","1989","3491","2013","5117","10613","70","3055","2757","154475","32295","20604","5011","8959","5","0","160","54","200","111","",""
"2020-09-07","229","412","2","0","0","2","0","4","0","0","0","0","2","1","47","11","0","5","False","False","False","False","1990","3493","2022","5119","10617","70","3056","2759","154522","32306","20609","5011","7716","25","5","162","57","199","111","",""
"2020-09-08","230","413","6","0","1","3","0","19","0","1","0","1","13","5","124","56","0","18","False","False","False","False","1993","3499","2073","5122","10636","70","3061","2764","154646","32362","20627","3620","5530","110","17","170","56","200","113","",""
"2020-09-09","230","413","2","1","1","2","0","10","0","0","4","0","11","2","100","90","0","46","False","False","False","False","1993","3501","2109","5124","10646","70","3063","2765","154746","32452","20673","2922","5011","118","13","168","54","202","115","",""
"2020-09-10","230","413","8","1","0","7","0","33","0","0","0","0","24","10","334","58","0","56","False","False","False","False","1997","3509","2137","5131","10679","70","3073","2773","155080","32510","20729","2224","4261","125","27","166","59","202","115","",""
"2020-09-11","230","413","6","1","0","5","0","14","0","0","0","0","6","2","154","26","0","15","False","False","False","False","1999","3515","2161","5136","10693","70","3075","2779","155234","32536","20744","1869","4957","105","18","161","57","202","117","",""
"2020-09-12","230","413","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False","False","False","False","1999","3515","2164","5136","10693","70","3075","2779","155234","32536","20744","1869","5530","9","0","159","53","200","116","",""
"2020-09-13","230","413","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","False","False","False","False","1999","3515","2164","5136","10693","70","3075","2779","155234","32539","20744","1869","4261","8","0","159","53","199","116","",""
"2020-09-14","231","414","6","3","1","5","0","24","0","0","1","1","6","4","121","70","0","21","False","False","False","False","2007","3521","2217","5141","10717","70","3079","2784","155355","32609","20765","1760","4261","113","17","169","58","201","115","",""
"2020-09-15","231","414","5","4","0","7","0","40","1","0","0","0","17","5","231","89","0","29","False","False","False","False","2011","3526","2294","5148","10757","71","3084","2787","155586","32698","20794","1869","4261","115","25","174","66","202","118","",""
"2020-09-16","231","414","6","1","1","2","0","18","0","0","0","0","6","3","317","97","0","63","False","False","False","False","2014","3532","2337","5150","10775","71","3087","2791","155903","32795","20857","4011","5530","114","30","177","71","204","121","",""
"2020-09-17","231","414","5","3","0","8","0","31","0","0","1","0","11","3","207","72","0","27","False","False","False","False","2016","3537","2391","5158","10806","71","3090","2793","156110","32867","20884","6153","6153","112","26","176","74","203","119","",""
"2020-09-18","231","414","5","2","0","5","0","17","0","0","0","0","7","4","214","65","0","25","False","False","False","False","2020","3542","2429","5163","10823","71","3094","2798","156324","32932","20909","6153","6472","86","18","174","68","204","118","",""
"2020-09-19","231","414","2","0","0","3","0","5","0","0","1","0","4","3","10","1","0","2","False","False","False","False","2021","3544","2429","5166","10828","71","3097","2799","156334","32933","20911","7575","6049","15","4","166","65","202","117","",""
"2020-09-20","231","414","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False","False","False","False","2021","3544","2429","5166","10828","71","3097","2799","156334","32933","20911","7575","6049","10","0","166","65","201","113","",""
"2020-09-21","232","415","3","0","0","5","0","7","0","0","1","1","6","2","137","58","0","18","False","False","False","False","2023","3547","2450","5171","10835","71","3099","2802","156471","32991","20929","7739","6153","99","15","173","70","203","116","",""
"2020-09-22","233","416","1","1","0","0","0","3","0","0","0","1","2","1","117","66","0","14","False","False","False","False","2025","3548","2465","5171","10838","71","3100","2803","156588","33057","20943","13418","6153","94","9","170","66","204","116","",""
"2020-09-23","233","416","3","2","0","1","0","11","0","0","2","0","2","3","60","70","0","15","False","False","False","False","2026","3551","2502","5172","10849","71","3103","2805","156648","33127","20958","13418","6101","97","12","171","62","206","118","",""
"2020-09-24","233","416","2","0","0","13","0","8","0","0","0","0","23","2","104","59","0","12","False","False","False","False","2028","3553","2531","5185","10857","71","3105","2807","156752","33186","20970","13792","5530","95","17","167","62","206","120","",""
